date,game_id,game_name,winner,winner_abbr,loser,loser_abbr,winner_score,loser_score,margin,is_tournament,is_neutral,is_conf,tournament_note,conference,winner_record,loser_record,winner_fg_pct,winner_3p_pct,winner_ft_pct,loser_fg_pct,loser_3p_pct,loser_ft_pct
20260314,401851183,Virginia Cavaliers at Duke Blue Devils,Duke Blue Devils,DUKE,Virginia Cavaliers,UVA,74,70,4,True,True,True,,,32-2,29-5,38.5,32.0,80.0,44.4,33.3,87.5
20260314,401851306,Houston Cougars at Arizona Wildcats,Arizona Wildcats,ARIZ,Houston Cougars,HOU,79,74,5,True,True,True,,,32-2,28-6,46.3,46.2,85.2,43.8,38.1,71.4
20260314,401851384,Wisconsin Badgers at Michigan Wolverines,Michigan Wolverines,MICH,Wisconsin Badgers,WIS,68,65,3,True,True,True,,,31-2,24-10,43.1,32.0,83.3,37.7,42.1,60.0
20260314,401851569,Vanderbilt Commodores at Florida Gators,Vanderbilt Commodores,VAN,Florida Gators,FLA,91,74,17,True,True,True,,,26-7,26-7,54.5,47.6,91.3,45.6,29.4,73.9
20260314,401851317,UConn Huskies at St. John's Red Storm,St. John's Red Storm,SJU,UConn Huskies,CONN,72,52,20,True,False,True,,,28-6,29-5,48.2,25.0,76.5,33.9,15.8,78.6
20260314,401851570,Ole Miss Rebels at Arkansas Razorbacks,Arkansas Razorbacks,ARK,Ole Miss Rebels,MISS,93,90,3,True,True,True,,,25-8,15-20,46.4,31.6,74.2,50.0,31.0,78.6
20260314,401851386,Purdue Boilermakers at UCLA Bruins,Purdue Boilermakers,PUR,UCLA Bruins,UCLA,73,66,7,True,True,True,,,26-8,23-11,46.3,35.7,68.4,43.9,35.0,81.8
20260314,401851435,Cornell Big Red at Yale Bulldogs,Yale Bulldogs,YALE,Cornell Big Red,COR,88,76,12,True,True,True,,,24-5,15-13,54.7,40.0,57.1,43.5,29.7,62.5
20260314,401851206,Vermont Catamounts at UMBC Retrievers,UMBC Retrievers,UMBC,Vermont Catamounts,UVM,74,59,15,True,False,True,,,24-8,22-12,41.2,38.5,84.6,42.4,18.5,40.0
20260314,401851477,North Carolina Central Eagles at Howard Bison,Howard Bison,HOW,North Carolina Central Eagles,NCCU,70,63,7,True,True,True,,,23-10,14-18,36.5,26.3,77.1,38.0,30.0,82.6
