fetched_at,commence_time,home_team,away_team,bookmaker,market,team,price,point
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,draftkings,h2h,Massachusetts Minutemen,900,
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,draftkings,h2h,Miami (OH) RedHawks,-1850,
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,draftkings,spreads,Massachusetts Minutemen,-115,11.5
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,draftkings,spreads,Miami (OH) RedHawks,-115,-11.5
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,draftkings,totals,Over,-120,157.5
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,draftkings,totals,Under,-110,157.5
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,fanduel,h2h,Massachusetts Minutemen,1000,
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,fanduel,h2h,Miami (OH) RedHawks,-3000,
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,fanduel,spreads,Massachusetts Minutemen,-102,10.5
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,fanduel,spreads,Miami (OH) RedHawks,-130,-10.5
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,fanduel,totals,Over,-122,156.5
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,fanduel,totals,Under,-108,156.5
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,betmgm,h2h,Massachusetts Minutemen,525,
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,betmgm,h2h,Miami (OH) RedHawks,-900,
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,betmgm,totals,Over,-105,157.5
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,betmgm,totals,Under,-125,157.5
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,pinnacle,h2h,Massachusetts Minutemen,451,
20260312,2026-03-12T15:02:35Z,Miami (OH) RedHawks,Massachusetts Minutemen,pinnacle,h2h,Miami (OH) RedHawks,-628,
