YEAR,WEEK,TEAM,AP RANK,RANK?
2026,0,Duke,6,1
2026,1,Duke,4,1
2026,2,Duke,5,1
2026,3,Duke,4,1
2026,4,Duke,4,1
2026,5,Duke,3,1
2026,6,Duke,3,1
2026,7,Duke,6,1
2026,8,Duke,6,1
2026,10,Duke,6,1
2026,11,Duke,5,1
2026,12,Duke,4,1
2026,13,Duke,4,1
2026,14,Duke,4,1
2026,15,Duke,3,1
2026,16,Duke,1,1
2026,17,Duke,1,1
2026,18,Duke,1,1
2026,0,Arizona,13,1
2026,1,Arizona,5,1
2026,2,Arizona,4,1
2026,3,Arizona,2,1
2026,4,Arizona,2,1
2026,5,Arizona,1,1
2026,6,Arizona,1,1
2026,7,Arizona,1,1
2026,8,Arizona,1,1
2026,10,Arizona,1,1
2026,11,Arizona,1,1
2026,12,Arizona,1,1
2026,13,Arizona,1,1
2026,14,Arizona,1,1
2026,15,Arizona,4,1
2026,16,Arizona,2,1
2026,17,Arizona,2,1
2026,18,Arizona,2,1
2026,0,Michigan,7,1
2026,1,Michigan,6,1
2026,2,Michigan,7,1
2026,3,Michigan,7,1
2026,4,Michigan,3,1
2026,5,Michigan,2,1
2026,6,Michigan,2,1
2026,7,Michigan,2,1
2026,8,Michigan,2,1
2026,10,Michigan,4,1
2026,11,Michigan,3,1
2026,12,Michigan,3,1
2026,13,Michigan,2,1
2026,14,Michigan,2,1
2026,15,Michigan,1,1
2026,16,Michigan,3,1
2026,17,Michigan,3,1
2026,18,Michigan,3,1
2026,0,Florida,3,1
2026,1,Florida,10,1
2026,2,Florida,10,1
2026,3,Florida,10,1
2026,4,Florida,15,1
2026,5,Florida,18,1
2026,6,Florida,23,1
2026,7,Florida,22,1
2026,10,Florida,19,1
2026,11,Florida,16,1
2026,12,Florida,19,1
2026,13,Florida,17,1
2026,14,Florida,14,1
2026,15,Florida,12,1
2026,16,Florida,7,1
2026,17,Florida,5,1
2026,18,Florida,4,1
2026,0,Houston,2,1
2026,1,Houston,1,1
2026,2,Houston,2,1
2026,3,Houston,3,1
2026,4,Houston,8,1
2026,5,Houston,7,1
2026,6,Houston,8,1
2026,7,Houston,8,1
2026,8,Houston,7,1
2026,10,Houston,7,1
2026,11,Houston,6,1
2026,12,Houston,10,1
2026,13,Houston,8,1
2026,14,Houston,3,1
2026,15,Houston,2,1
2026,16,Houston,5,1
2026,17,Houston,7,1
2026,18,Houston,5,1
2026,0,Connecticut,4,1
2026,1,Connecticut,3,1
2026,2,Connecticut,3,1
2026,3,Connecticut,5,1
2026,4,Connecticut,5,1
2026,5,Connecticut,5,1
2026,6,Connecticut,5,1
2026,7,Connecticut,4,1
2026,8,Connecticut,4,1
2026,10,Connecticut,3,1
2026,11,Connecticut,2,1
2026,12,Connecticut,2,1
2026,13,Connecticut,3,1
2026,14,Connecticut,6,1
2026,15,Connecticut,5,1
2026,16,Connecticut,6,1
2026,17,Connecticut,4,1
2026,18,Connecticut,6,1
2026,0,Iowa St.,16,1
2026,1,Iowa St.,16,1
2026,2,Iowa St.,16,1
2026,3,Iowa St.,15,1
2026,4,Iowa St.,10,1
2026,5,Iowa St.,4,1
2026,6,Iowa St.,4,1
2026,7,Iowa St.,3,1
2026,8,Iowa St.,3,1
2026,10,Iowa St.,2,1
2026,11,Iowa St.,9,1
2026,12,Iowa St.,8,1
2026,13,Iowa St.,7,1
2026,14,Iowa St.,5,1
2026,15,Iowa St.,6,1
2026,16,Iowa St.,4,1
2026,17,Iowa St.,6,1
2026,18,Iowa St.,7,1
2026,0,Michigan St.,22,1
2026,1,Michigan St.,17,1
2026,2,Michigan St.,17,1
2026,3,Michigan St.,11,1
2026,4,Michigan St.,7,1
2026,5,Michigan St.,9,1
2026,6,Michigan St.,9,1
2026,7,Michigan St.,9,1
2026,8,Michigan St.,12,1
2026,10,Michigan St.,12,1
2026,11,Michigan St.,10,1
2026,12,Michigan St.,7,1
2026,13,Michigan St.,10,1
2026,14,Michigan St.,10,1
2026,15,Michigan St.,15,1
2026,16,Michigan St.,13,1
2026,17,Michigan St.,8,1
2026,18,Michigan St.,8,1
2026,0,Illinois,17,1
