YEAR,CONF,CONF ID,QUAD NO,QUAD ID,TEAM NO,TEAM ID,TEAM,SEED,ROUND,K TEMPO,K TEMPO RANK,KADJ T,KADJ T RANK,K OFF,KO RANK,KADJ O,KADJ O RANK,K DEF,KD RANK,KADJ D,KADJ D RANK,KADJ EM,KADJ EM RANK,BADJ EM,BADJ O,BADJ D,BARTHAG,GAMES,W,L,WIN%,EFG%,EFG%D,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%,RAW T,2PT%,2PT%D,3PT%,3PT%D,BLK%,BLKED%,AST%,OP AST%,2PTR,3PTR,2PTRD,3PTRD,BADJ T,AVG HGT,EFF HGT,EXP,TALENT,FT%,OP FT%,PPPO,PPPD,ELITE SOS,WAB,BADJ EM RANK,BADJ O RANK,BADJ D RANK,BARTHAG RANK,EFG% RANK,EFGD% RANK,FTR RANK,FTRD RANK,TOV% RANK,TOV%D RANK,OREB% RANK,DREB% RANK,OP OREB% RANK,OP DREB% RANK,RAW T RANK,2PT% RANK,2PT%D RANK,3PT% RANK,3PT%D RANK,BLK% RANK,BLKED% RANK,AST% RANK,OP AST% RANK,2PTR RANK,3PTR RANK,2PTRD RANK,3PTRD RANK,BADJT RANK,AVG HGT RANK,EFF HGT RANK,EXP RANK,TALENT RANK,FT% RANK,OP FT% RANK,PPPO RANK,PPPD RANK,ELITE SOS RANK,RANK,PAKE,PASE,last10_adjoe,last10_adjde,last10_adjEM,last10_barthag,tourney_adjoe,tourney_adjde,tourney_adjEM,tourney_barthag
2025,MAC,17.0,66.0,2.0,1147.0,2.0,Akron,13.0,64.0,72.4588,15.0,71.4456,16.0,115.754,21.0,113.749,66.0,104.558,145.0,107.176,183.0,6.57261,99.0,6.861,113.691,106.83,0.672,32.0,26.0,6.0,81.25,55.4,49.5,26.8,33.7,16.6,17.2,33.3,71.0,29.0,66.7,72.4,55.8,50.6,36.6,31.9,9.8,7.0,58.5,44.7,54.6,45.4,62.0,38.0,71.176,75.063,77.508,2.383,16.228,74.9,73.0,1.156,1.045,9.759,-1.8,99.0,62.0,186.0,101.0,33.0,114.0,334.0,203.0,148.0,177.0,78.0,142.0,142.0,78.0,15.0,35.0,171.0,52.0,75.0,144.0,16.0,46.0,26.0,314.0,52.0,216.0,152.0,19.0,361.0,364.0,73.0,149.0,86.0,239.0,25.0,145.0,305.0,,,,,,,,,,,
2025,SEC,28.0,66.0,2.0,1146.0,3.0,Alabama,2.0,8.0,76.2512,1.0,74.9404,1.0,118.725,9.0,126.598,4.0,106.121,176.0,96.6919,31.0,29.9064,6.0,31.278,127.634,96.356,0.962,33.0,25.0,8.0,75.75758,56.3,47.9,40.1,33.9,16.7,13.5,34.7,70.8,29.2,65.3,76.3,59.7,48.8,35.0,30.8,10.1,12.2,54.1,43.8,53.8,46.2,64.9,35.1,74.645,78.074,82.581,1.819,58.572,71.6,70.4,1.187,1.06,46.471,9.8,5.0,4.0,28.0,5.0,17.0,52.0,25.0,208.0,154.0,350.0,42.0,156.0,156.0,42.0,1.0,4.0,96.0,116.0,32.0,132.0,344.0,116.0,21.0,324.0,43.0,309.0,59.0,1.0,57.0,4.0,261.0,32.0,211.0,92.0,9.0,174.0,1.0,,,,,,,,,,,
2025,SWAC,31.0,68.0,4.0,1145.0,4.0,Alabama St.,16.0,64.0,69.0571,120.0,67.824,142.0,103.998,228.0,101.454,271.0,104.201,129.0,110.689,256.0,-9.235,273.0,-9.091,100.521,109.612,0.27,33.0,18.0,15.0,54.54545,47.1,50.3,29.9,38.7,13.2,18.6,28.3,68.9,31.1,71.7,69.1,45.4,50.4,32.9,33.4,8.4,9.1,45.4,50.3,57.1,42.9,60.5,39.5,67.626,76.5,79.666,2.346,4.049,69.8,69.9,1.041,1.046,11.608,-10.2,274.0,282.0,246.0,274.0,327.0,150.0,274.0,308.0,5.0,93.0,230.0,249.0,249.0,230.0,120.0,343.0,158.0,224.0,160.0,231.0,161.0,321.0,140.0,281.0,85.0,162.0,206.0,154.0,285.0,239.0,83.0,251.0,270.0,61.0,227.0,147.0,253.0,,,,,,,,,,,
2025,Pat,25.0,66.0,2.0,1144.0,6.0,American,16.0,68.0,63.6519,357.0,63.5548,349.0,104.618,215.0,102.095,253.0,105.086,160.0,108.071,205.0,-5.9762,237.0,-6.202,101.22,107.422,0.335,32.0,20.0,12.0,62.5,51.8,52.1,29.5,34.1,16.8,17.6,23.8,72.6,27.4,76.2,63.7,51.1,53.1,35.1,33.6,5.3,9.5,52.1,50.4,55.2,44.8,64.3,35.7,63.442,76.377,79.635,2.039,0.2,75.9,69.2,1.045,1.052,8.755,-8.3,243.0,268.0,198.0,244.0,121.0,245.0,291.0,214.0,158.0,151.0,335.0,67.0,67.0,335.0,357.0,177.0,270.0,106.0,171.0,356.0,201.0,168.0,143.0,308.0,58.0,288.0,80.0,349.0,303.0,248.0,181.0,364.0,58.0,34.0,218.0,163.0,329.0,,,,,,,,,,,
2025,B12,7.0,66.0,2.0,1143.0,8.0,Arizona,4.0,16.0,70.2006,64.0,69.9324,54.0,115.408,27.0,122.567,13.0,102.537,87.0,96.8244,32.0,25.7423,14.0,27.472,123.94,96.468,0.947,34.0,22.0,12.0,64.70588,52.9,48.6,36.6,29.2,16.2,16.6,35.9,71.5,28.5,64.1,70.2,55.1,47.2,32.4,33.6,12.0,6.7,56.7,53.2,65.4,34.6,58.1,41.9,69.862,77.892,80.498,1.92,66.268,78.4,71.4,1.156,1.025,44.259,5.4,8.0,10.0,30.0,9.0,83.0,79.0,73.0,81.0,119.0,221.0,19.0,112.0,112.0,19.0,66.0,46.0,43.0,250.0,171.0,54.0,10.0,71.0,219.0,74.0,295.0,81.0,285.0,52.0,74.0,129.0,225.0,16.0,18.0,143.0,25.0,87.0,3.0,,,,,,,,,,,
2025,SEC,28.0,67.0,3.0,1142.0,10.0,Arkansas,10.0,16.0,70.4614,54.0,69.4097,68.0,107.931,138.0,112.943,73.0,100.726,57.0,95.2503,20.0,17.6925,40.0,16.449,111.898,95.449,0.862,33.0,20.0,13.0,60.60606,52.7,48.3,35.5,29.4,16.5,17.5,27.6,71.7,28.3,72.4,70.4,54.4,48.5,33.3,31.9,15.4,7.1,53.2,48.6,63.3,36.7,60.5,39.5,69.263,78.136,81.87,1.364,74.808,73.4,72.5,1.083,1.006,36.561,1.2,48.0,83.0,22.0,43.0,91.0,62.0,109.0,88.0,136.0,154.0,249.0,101.0,101.0,249.0,55.0,62.0,86.0,204.0,75.0,8.0,20.0,134.0,98.0,125.0,242.0,162.0,206.0,67.0,44.0,23.0,341.0,6.0,134.0,214.0,128.0,56.0,28.0,,,,,,,,,,,
2025,SEC,28.0,68.0,4.0,1141.0,12.0,Auburn,1.0,4.0,68.8568,135.0,67.6684,153.0,121.014,4.0,128.505,1.0,100.799,60.0,93.4663,12.0,35.0385,4.0,35.396,129.049,93.653,0.976,33.0,28.0,5.0,84.84848,55.7,46.0,33.5,39.2,13.4,17.4,34.3,69.7,30.3,65.7,68.9,56.1,47.2,36.8,29.2,16.5,7.5,55.5,40.2,59.4,40.6,65.2,34.8,67.776,78.431,81.057,2.573,34.433,74.0,73.5,1.213,1.007,45.564,12.5,3.0,1.0,12.0,3.0,26.0,11.0,168.0,318.0,7.0,166.0,53.0,214.0,214.0,53.0,136.0,31.0,43.0,42.0,5.0,4.0,36.0,91.0,6.0,227.0,139.0,315.0,51.0,143.0,22.0,66.0,20.0,90.0,116.0,264.0,3.0,59.0,2.0,,,,,,,,,,,
2025,B12,7.0,66.0,2.0,1140.0,14.0,Baylor,9.0,32.0,65.4265,310.0,64.5974,319.0,113.197,46.0,120.886,16.0,104.882,152.0,99.7268,58.0,21.1589,29.0,21.224,120.5,99.276,0.903,32.0,18.0,14.0,56.25,51.5,51.2,31.0,33.5,16.1,18.8,35.6,68.8,31.2,64.4,65.4,51.2,49.8,34.7,35.4,8.3,11.0,53.5,59.9,59.8,40.2,59.2,40.8,64.62,76.961,79.571,1.871,56.146,74.6,69.9,1.132,1.044,42.981,2.0,26.0,17.0,58.0,27.0,139.0,202.0,244.0,197.0,107.0,85.0,25.0,256.0,256.0,25.0,315.0,169.0,132.0,131.0,279.0,238.0,311.0,125.0,341.0,219.0,150.0,115.0,254.0,314.0,211.0,256.0,245.0,41.0,97.0,61.0,46.0,138.0,5.0,,,,,,,,,,,
2025,AE,3.0,68.0,4.0,1139.0,21.0,Bryant,15.0,64.0,73.1396,6.0,72.5242,7.0,109.621,102.0,106.725,178.0,101.303,68.0,105.547,148.0,1.17756,149.0,0.413,105.753,105.34,0.511,32.0,21.0,11.0,65.625,51.0,47.7,30.4,30.0,16.5,16.4,34.2,71.2,28.8,65.8,73.2,51.5,47.3,33.4,32.2,14.8,5.7,48.7,42.9,65.2,34.8,64.0,36.0,72.335,78.792,80.395,2.502,33.52,71.8,72.0,1.095,1.015,9.31,-7.1,153.0,190.0,152.0,154.0,166.0,44.0,265.0,106.0,136.0,239.0,54.0,130.0,130.0,54.0,6.0,162.0,46.0,198.0,87.0,10.0,2.0,264.0,17.0,82.0,286.0,278.0,90.0,7.0,12.0,144.0,38.0,96.0,203.0,177.0,106.0,69.0,314.0,,,,,,,,,,,
2025,B12,7.0,66.0,2.0,1138.0,25.0,BYU,6.0,16.0,67.7804,189.0,67.3028,181.0,117.204,14.0,123.05,12.0,102.804,92.0,100.654,68.0,22.3965,24.0,26.353,125.443,99.09,0.938,33.0,24.0,9.0,72.72727,57.2,50.6,30.2,29.5,17.6,17.2,33.3,73.9,26.1,66.7,67.8,58.6,49.3,37.1,34.8,9.8,8.5,59.9,52.2,51.7,48.3,55.6,44.4,67.2,78.157,80.606,1.889,35.971,70.5,70.6,1.173,1.027,35.191,4.8,11.0,7.0,53.0,14.0,7.0,169.0,270.0,91.0,212.0,177.0,78.0,31.0,31.0,78.0,190.0,6.0,116.0,33.0,246.0,144.0,101.0,32.0,192.0,350.0,16.0,36.0,332.0,180.0,43.0,115.0,239.0,86.0,246.0,108.0,14.0,91.0,37.0,,,,,,,,,,,
