YEAR,TEAM,PRESEASON KADJ EM,KADJ EM CHANGE,KADJ EM RANK CHANGE
2026,Duke,38.1518,-0.7738,998
2026,Michigan,21.8201,15.3339,997
2026,Arizona,25.7423,9.8247,996
2026,Florida,35.8258,-1.9368,995
2026,Houston,35.4439,-2.4449,994
2026,Illinois,23.5881,10.1859,993
2026,Iowa St.,27.0002,4.1578,992
2026,Purdue,23.8002,8.5288,991
2026,Connecticut,19.3318,8.8252,990
2026,Vanderbilt,16.1626,12.4564,989
2026,Gonzaga,27.2891,-0.9861,988
2026,Michigan St.,27.5664,-0.7854,987
2026,Texas Tech,28.0555,-0.5465,986
2026,Virginia,26.46,0,0
2026,St. John's,26.3752,-0.6362,984
2026,Tennessee,31.4386,-5.3996,983
2026,Louisville,22.6465,3.2465,982
2026,Alabama,29.9064,-3.1844,981
2026,Nebraska,23.775,0,0
2026,Arkansas,17.6925,8.1925,979
2026,Wisconsin,26.4425,-0.8655,978
2026,Kansas,23.2603,0.2567,977
2026,Ohio St.,23.691,0,0
2026,Saint Mary's,23.0917,-1.2477,975
2026,UCLA,21.7873,0.9847,974
2026,Iowa,21.95,0,0
2026,North Carolina,19.5367,1.9133,972
2026,Santa Clara,21.312,0,0
2026,Utah St.,15.2291,5.7109,970
2026,Clemson,23.9175,-4.2985,969
2026,Kentucky,24.2565,-4.2855,968
2026,Cincinnati,18.648,0,0
2026,BYU,22.3965,-1.9445,966
2026,Indiana,19.857,0,0
2026,Miami FL,19.644,0,0
2026,Villanova,19.104,0,0
2026,Georgia,19.3641,0.2299,962
2026,N.C. State,19.466,0,0
2026,Texas A&M,24.0735,-5.5465,960
2026,Oklahoma,18.345,0.955,959
2026,Auburn,35.0385,-16.6095,958
2026,SMU,18.115,0,0
2026,Saint Louis,17.356,0,0
2026,San Diego St.,16.2735,-0.1355,955
2026,Texas,17.1527,0.5393,954
2026,Missouri,24.3888,-7.4868,953
2026,Baylor,21.1589,-4.3419,952
2026,TCU,15.235,0,0
2026,VCU,20.7041,-5.0621,950
2026,Florida St.,15.507,0,0
2026,South Florida,14.951,0,0
2026,Washington,14.613,0,0
2026,New Mexico,17.3279,-2.9529,946
2026,Virginia Tech,14.512,0,0
2026,Grand Canyon,7.2181,6.3499,944
2026,Boise St.,14.325,0,0
2026,UCF,14.365,0,0
2026,Minnesota,13.88,0,0
2026,Stanford,13.387,0,0
2026,Seton Hall,12.429,0,0
2026,Arizona St.,12.898,0,0
2026,West Virginia,11.916,0,0
2026,Northwestern,12.699,0,0
2026,Mississippi,22.0726,-9.6676,935
2026,Tulsa,12.738,0,0
2026,USC,11.831,0,0
2026,Wake Forest,12.285,0,0
2026,California,11.662,0,0
2026,LSU,12.088,0,0
2026,Northern Iowa,11.143,0,0
2026,Akron,6.5726,5.2394,928
2026,Butler,11.648,0,0
2026,McNeese St.,13.6921,-2.6881,926
2026,Providence,11.73,0,0
2026,Oklahoma St.,11.308,0,0
2026,Marquette,21.5878,-10.9708,923
2026,Colorado,11.199,0,0
2026,Dayton,10.475,0,0
2026,Georgetown,10.755,0,0
2026,Nevada,10.749,0,0
2026,Belmont,11.122,0,0
2026,Syracuse,10.514,0,0
2026,George Washington,10.423,0,0
2026,Wichita St.,9.79,0,0
