YEAR,TEAM,WAB RANK,ELO,Q1 W,Q2 W,B POWER
2026,Michigan,13.84,1908.91,16,6,
2026,Duke,13.49,1909.68,17,6,
2026,Arizona,13.38,1903.89,16,8,
2026,Houston,9.4,1777.42,10,9,
2026,Florida,9.24,1786.41,12,6,
2026,UConn,8.94,,,,
2026,Virginia,8.09,1761.56,8,9,
2026,Purdue,7.84,1730.36,10,6,
2026,Iowa St.,7.59,,8,10,
2026,Michigan St.,7.53,1705.11,9,5,
2026,Nebraska,7.37,1650.11,9,6,
2026,Vanderbilt,6.92,1709.26,10,7,
2026,Kansas,6.82,1686.32,9,7,
2026,Alabama,6.8,1677.92,7,9,
2026,Gonzaga,6.59,1747.01,7,4,
2026,Illinois,6.52,1673.8,7,5,
2026,Arkansas,6.45,1735.48,7,8,
2026,Texas,5.6,1498.37,6,1,
2026,Wisconsin,5.55,1696.19,8,5,
2026,North,5.36,,,,
2026,BYU,4.76,1619.36,7,8,
2026,Louisville,4.48,1629.11,7,5,
2026,Tennessee,4.46,1612.45,6,6,
2026,Kentucky,3.69,1612.68,5,7,
2026,UCLA,3.63,1663.38,5,5,
2026,Clemson,3.45,1614.89,6,7,
2026,Villanova,3.44,1610.29,2,8,
2026,Ohio St.,2.95,,4,5,
2026,Utah St.,2.86,,4,9,
2026,TCU,2.52,1638.72,6,7,
2026,Georgia,2.31,1572.01,6,6,
2026,UCF,2.11,1545.42,5,6,
2026,Santa,2.08,,,,
2026,Saint,1.77,,,,
2026,Iowa,1.59,1549.57,4,5,
2026,Texas A&M,1.48,1555.68,5,4,
2026,Missouri,1.17,1539.24,5,4,
2026,VCU,1.12,1663.06,2,4,
2026,NC,0.77,,,,
2026,Auburn,0.34,1491.92,,,
2026,San Diego St.,0.15,1572.22,,,
2026,SMU,0.02,1474.94,4,5,
2026,Texas,-0.03,1498.37,6,1,
2026,McNeese,-0.2,1583.45,,,
2026,Oklahoma,-0.45,1570.09,,,
2026,Oklahoma St.,-0.48,1489.29,,,
2026,Virginia,-0.48,1761.56,8,9,
2026,Indiana,-0.52,1495.99,,,
2026,California,-0.69,1499.14,,,
2026,Arizona St.,-0.73,,,,
2026,Seton,-0.78,,,,
